id,prodName,prodCatid,prodCat,prodPcatid,prodPcat,lowPrice,highPrice,avgPrice,place,specInfo,unitInfo,pubDate,status,userIdCreate,userIdModified,userCreate,userModified,gmtCreate,gmtModified
1300936,小葱,1186,蔬菜,,,2.0,2.5,2.25,冀,,斤,2022-07-03 00:00:00,,138,,admin,,,
1300935,蒜苗,1186,蔬菜,,,2.2,5.0,3.6,豫鲁,,斤,2022-07-03 00:00:00,,138,,admin,,,
1300934,蒜黄,1186,蔬菜,,,4.5,5.0,4.75,冀,,斤,2022-07-03 00:00:00,,138,,admin,,,
1300933,青蒜,1186,蔬菜,,,2.0,2.2,2.1,甘,,斤,2022-07-03 00:00:00,,138,,admin,,,
1300932,平菇,1186,蔬菜,,,2.5,4.0,3.25,京蒙,小叶,斤,2022-07-03 00:00:00,,138,,admin,,,
1300931,香菇,1186,蔬菜,,,3.5,6.0,4.75,冀,,斤,2022-07-03 00:00:00,,138,,admin,,,
1300930,白玉菇,1186,蔬菜,,,2.5,3.0,2.75,冀,,斤,2022-07-03 00:00:00,,138,,admin,,,
1300929,口蘑,1186,蔬菜,,,6.0,6.5,6.25,冀,,斤,2022-07-03 00:00:00,,138,,admin,,,
1300928,杏鲍菇,1186,蔬菜,,,2.2,2.5,2.35,苏豫津,,斤,2022-07-03 00:00:00,,138,,admin,,,
1300927,金针菇,1186,蔬菜,,,2.0,2.4,2.2,辽鲁,,斤,2022-07-03 00:00:00,,138,,admin,,,
1300926,菠萝,1187,水果,1211,其他类,1.5,2.3,1.9,,箱装（上六下六）,斤,2022-07-03 00:00:00,,138,,admin,,,
1300925,圣女果,1187,水果,1211,其他类,3.0,4.0,3.5,,千禧,斤,2022-07-03 00:00:00,,138,,admin,,,
1300924,百香果,1187,水果,1211,其他类,13.0,14.0,13.5,,,斤,2022-07-03 00:00:00,,138,,admin,,,
1300923,冬枣,1187,水果,1211,其他类,13.0,18.0,15.5,,,斤,2022-07-03 00:00:00,,138,,admin,,,
1300922,杨梅,1187,水果,1211,其他类,13.0,14.0,13.5,,,斤,2022-07-03 00:00:00,,138,,admin,,,
